from_id,to_id,from_fraction
WA,p1,0.511516559
WA,p2,0.263243829
WA,p3,0.134421152
WA,p4,0.09081199
OR,p5,0.85928742
OR,p6,0.119340221
OR,p7,0.01985459
CA,p8,0.003279519
CA,p9,0.325110728
CA,p10,0.591902782
CA,p11,0.07977513
NV,p12,0.252781042
NV,p13,0.747222879
ID,p14,0.123759703
ID,p15,0.565045718
ID,p16,0.314160855
MT,p17,0.332191138
MT,p18,0.253265559
MT,p19,0.005898671
MT,p20,0.255855551
WY,p21,0.463440289
WY,p22,0.007444217
WY,p23,0.133803291
WY,p24,0.395309919
UT,p25,0.95302444
UT,p26,0.04696329
AZ,p27,0.04067285
AZ,p28,0.907047008
AZ,p29,0.011311167
AZ,p30,0.040679269
NM,p31,0.570266402
SD,p32,0.149205928
CO,p33,0.730908527
CO,p34,0.26909568
MT,p35,0.152791184
ND,p36,0.694835936
ND,p37,0.319350872
SD,p38,0.855908288
NE,p39,0.086970711
NE,p40,0.421602092
NE,p41,0.491426084
MN,p42,0.056327372
MN,p43,0.84770859
MN,p44,0.027001584
IA,p45,0.284913362
WI,p46,0.145087209
NM,p47,0.426137569
TX,p48,0.049330016
OK,p49,0.00693831
OK,p50,0.642755893
OK,p51,0.350304268
KS,p52,0.062621005
KS,p53,0.934782412
MO,p54,0.407187533
MO,p55,0.242901191
AR,p56,0.264927786
TX,p57,0.01957121
LA,p58,0.951771163
TX,p59,0.018534799
TX,p60,0.016916347
TX,p61,0.020517665
TX,p62,0.029899249
TX,p63,0.353236373
TX,p64,0.095047239
TX,p65,0.132709888
TX,p66,0.077928494
TX,p67,0.186557266
MN,p68,0.064635713
IA,p69,0.083499592
IA,p70,0.631390977
MO,p71,0.019268849
MO,p72,0.182719663
MO,p73,0.036931893
MI,p74,0.026426448
WI,p75,0.15434381
WI,p76,0.193286474
WI,p77,0.053520599
WI,p78,0.122472396
WI,p79,0.330529128
IL,p80,0.847532767
IL,p81,0.097155297
IL,p82,0.033015066
IL,p83,0.022244107
MO,p84,0.112245181
AR,p85,0.735068571
LA,p86,0.048955417
MS,p87,0.72087746
MS,p88,0.277865039
AL,p89,0.515098227
AL,p90,0.485756079
FL,p91,0.036259644
TN,p92,0.999999401
KY,p93,0.183464066
GA,p94,0.999481072
SC,p95,0.36860508
SC,p96,0.631468826
NC,p97,0.487232887
NC,p98,0.512766271
VA,p99,0.859457997
VA,p100,0.020701271
FL,p101,0.623201541
FL,p102,0.340540912
MI,p103,0.909364404
MI,p104,0.064197093
IN,p105,0.499239566
IN,p106,0.162894213
IN,p107,0.338313975
KY,p108,0.136246039
KY,p109,0.632401199
KY,p110,0.047882734
OH,p111,0.366801816
OH,p112,0.396120062
OH,p113,0.085452301
OH,p114,0.156323407
PA,p115,0.267566035
WV,p116,0.685457418
WV,p117,0.291485099
VA,p118,0.114194805
PA,p119,0.026215723
PA,p120,0.016716656
MD,p121,0.101248452
PA,p122,0.690130405
MD,p123,0.898751244
VA,p124,0.005646593
DE,p125,0.999996871
NJ,p126,1.017471625
NY,p127,0.843056155
NY,p128,0.146681469
VT,p129,0.993889239
NH,p130,0.989202943
MA,p131,1.003003671
CT,p132,0.999998986
RI,p133,1.000003488
ME,p134,1.000002339
DC,p123,1
