id,name
alabama,alabama
arizona,arizona
arkansas,arkansas
california,california
colorado,colorado
connecticut,connecticut
delaware,delaware
district of columbia,district of columbia
florida,florida
georgia,georgia
idaho,idaho
illinois,illinois
indiana,indiana
iowa,iowa
kansas,kansas
kentucky,kentucky
louisiana,louisiana
maine,maine
maryland,maryland
massachusetts,massachusetts
michigan,michigan
minnesota,minnesota
mississippi,mississippi
missouri,missouri
montana,montana
nebraska,nebraska
nevada,nevada
new hampshire,new hampshire
new jersey,new jersey
new mexico,new mexico
new york,new york
north carolina,north carolina
north dakota,north dakota
ohio,ohio
oklahoma,oklahoma
oregon,oregon
pennsylvania,pennsylvania
rhode island,rhode island
south carolina,south carolina
south dakota,south dakota
tennessee,tennessee
texas,texas
utah,utah
vermont,vermont
virginia,virginia
washington,washington
west virginia,west virginia
wisconsin,wisconsin
wyoming,wyoming
