id,name
commercial air conditioning,commercial air conditioning
commercial cooking,commercial cooking
commercial lighting,commercial lighting
commercial other,commercial other
commercial refrigeration,commercial refrigeration
commercial space heating,commercial space heating
commercial unspecified,commercial unspecified
commercial ventilation,commercial ventilation
commercial water heating,commercial water heating
district services,district services
office equipment (non-p.c.),office equipment (non-p.c.)
office equipment (p.c.),office equipment (p.c.)
Cement and Lime CO2 Capture,Cement and Lime CO2 Capture
agriculture-crops,agriculture-crops
agriculture-other,agriculture-other
aluminum industry,aluminum industry
balance of manufacturing other,balance of manufacturing other
bulk chemicals,bulk chemicals
cement,cement
coal mining,coal mining
computer and electronic products,computer and electronic products
construction,construction
"electrical equip., appliances, and components","electrical equip., appliances, and components"
fabricated metal products,fabricated metal products
food and kindred products,food and kindred products
glass and glass products,glass and glass products
iron and steel,iron and steel
machinery,machinery
metal and other non-metallic mining,metal and other non-metallic mining
oil & gas mining,oil & gas mining
paper and allied products,paper and allied products
petroleum refining,petroleum refining
plastic and rubber products,plastic and rubber products
steam,steam
transportation equipment,transportation equipment
wood products,wood products
residential air conditioning,residential air conditioning
residential clothes drying,residential clothes drying
residential clothes washing,residential clothes washing
residential computers and related,residential computers and related
residential cooking,residential cooking
residential dishwashing,residential dishwashing
residential freezing,residential freezing
residential furnace fans,residential furnace fans
residential lighting,residential lighting
residential other uses,residential other uses
residential refrigeration,residential refrigeration
residential secondary heating,residential secondary heating
residential space heating,residential space heating
residential televisions and related,residential televisions and related
residential water heating,residential water heating
buses,buses
domestic shipping,domestic shipping
freight rail,freight rail
heavy duty trucks,heavy duty trucks
light duty autos,light duty autos
light duty trucks,light duty trucks
medium duty trucks,medium duty trucks
motorcycles,motorcycles
passenger rail,passenger rail
recreational boats,recreational boats
